ID,Main,Location,Corporation,Salary,Href,Date
336,Systémový administrátor - špecialista na Docker,"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)","Asseco Central Europe, a. s.",2 100 EUR/mesiac,/praca/asseco-central-europe/O4518754,2023-02-21
337,PHP programátor,Bratislava,01 People s.r.o.,2 100 EUR/mesiac,/praca/01-people/O4158170,2023-02-21
338,ABAP Developer/Developerka,"Digital Park, Einsteinova, Petržalka, Slovensko, Bratislava (Pozícia umožňuje občasnú prácu z domu)","Zatopek Consulting, a. s.",1 500 - 2 500 EUR/mesiac,/praca/zatopek-consulting/O4518721,2023-02-21
339,Automation Engineer Medior - 365.innohub (m/ž),Bratislava,365.bank,2 800 EUR/mesiac,/praca/365-bank/O4518703,2023-02-21
340,"BE/Fullstack Developer (.NET, Angular 10+)","Moldavská cesta, Košice, Slovakia (Job with occasional home office)",IT-Impulse s. r. o.,2 000 EUR/mesiac,/praca/it-impulse/O4031843,2023-02-21
341,Fullstack SharePoint/Azure Developer,"Moldavská cesta, Košice, Slovakia (Job with occasional home office)",IT-Impulse s. r. o.,3 100 EUR/mesiac,/praca/it-impulse/O3612299,2023-02-21
342,SW System Architect (focus on back-office),"Bratislava, Slovakia (Job with occasional home office)",Scheidt & Bachmann Slovensko s.r.o.,4 500 EUR/mesiac,/praca/scheidt-bachmann-slovensko/O4518692,2023-02-21
343,Java Developer,"Štúrova 27, Staré Mesto, Slovakia, Košice (Job with occasional home office)","ABB Solutions Slovakia, s. r. o.",,/praca/abb-solutions-slovakia/O4459428,2023-02-21
344,PHP developer,Dunajská Streda,"Cstudios, s.r.o.",2 000 - 3 500 EUR/mesiac,/praca/cstudios/O4100966,2023-02-21
345,Java programátor (remote),Práca z domu,"Profinit EU, s.r.o.",1 600 EUR/mesiac,/praca/profinit-eu/O4518652,2023-02-21
346,Java Programátor (TPP alebo s.r.o.),"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)","Profinit EU, s.r.o.",2 500 - 4 000 EUR/mesiac,/praca/profinit-eu/O4460171,2023-02-21
347,Product Owner / Technical Team Lead of Java Team,"Bratislava, Slovakia (Job with occasional home office)",Scheidt & Bachmann Slovensko s.r.o.,2 500 - 4 000 EUR/mesiac,/praca/scheidt-bachmann-slovensko/O4518620,2023-02-21
348,Senior Frontend Developer,"Miletičova, Bratislava","SYNOT Games, s.r.o.",4 200 EUR/mesiac,/praca/synot-games/O4145038,2023-02-21
