ID,Main,Location,Corporation,Href,Date
38,Szolgálattevő villanyszerelő,"Pest, Fejér, Csongrád-Csanád, Bács-Kiskun vármegye",MVM OVIT Zrt.,https://www.profession.hu/allas/szolgalattevo-villanyszerelo-mvm-ovit-zrt-2153251?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
39,Elektrikus,"Pest, Fejér, Csongrád-Csanád, Bács-Kiskun vármegye",MVM OVIT Zrt.,https://www.profession.hu/allas/elektrikus-mvm-ovit-zrt-2153250?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
40,Projektasszisztens (Project Assistant),"1091 Budapest, Üllői út 1.",AEGON Magyarország Általános Biztosító Zrt.,https://www.profession.hu/allas/projektasszisztens-project-assistant-aegon-magyarorszag-altalanos-biztosito-zrt-budapest-2153248?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
41,IT üzleti elemző (banki területre),"1053 Budapest, Szép utca 2.",UNIQA Raiffeisen Software Service Kft.,https://www.profession.hu/allas/it-uzleti-elemzo-banki-teruletre-uniqa-raiffeisen-software-service-kft-budapest-2152881?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
42,"Full-Stack fejlesztő (Angular, Java)","1053 Budapest, Szép utca 2.",UNIQA Raiffeisen Software Service Kft.,https://www.profession.hu/allas/full-stack-fejleszto-angular-java-uniqa-raiffeisen-software-service-kft-budapest-2152870?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
43,Senior hálózati mérnök,Budapest,Profession Services,https://www.profession.hu/allas/senior-halozati-mernok-profession-services-2151850/pro?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
44,Üzemeltetési szakértő,"1138 Budapest, Madarász Viktor utca 47.",SMP Solutions Zrt.,https://www.profession.hu/allas/uzemeltetesi-szakerto-smp-solutions-zrt-budapest-2153140?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
45,IT Inhouse Consultant (m/f/d) Test Management,"1016 Budapest, Mészáros utca 58/B.",Dr. Oetker Magyarország Élelmiszer Kft.,https://www.profession.hu/allas/it-inhouse-consultant-m-f-d-test-management-dr-oetker-magyarorszag-elelmiszer-kft-budapest-2153028?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
46,IT munkatárs (német nyelvtudással),Győr,EDAG Hungary Kft.,https://www.profession.hu/allas/it-munkatars-nemet-nyelvtudassal-edag-hungary-kft-gyor-2152097?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
47,Tesztautomatizáló (agilis),Budapest XIII. kerület,OTP Bank Nyrt.,https://www.profession.hu/allas/tesztautomatizalo-agilis-otp-bank-nyrt-budapest-2152971?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
48,SAP Fiori fejlesztő,Szombathely,SPS Germany GmbH Magyarországi Fióktelepe,https://www.profession.hu/allas/sap-fiori-fejleszto-sps-germany-gmbh-magyarorszagi-fioktelepe-szombathely-2152638?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
