ID,Main,Location,Corporation,Salary,Href,Date
460,IT analytik,Bratislava,"Tatra banka, a.s.",3 000 - 4 200 EUR/mesiac,/praca/tatra-banka/O4544089,2023-04-07
461,Electronic Hardware Developer for Košice,Košice,"BSH Drives and Pumps s.r.o., člen skupiny BOSCH",1 800 EUR/mesiac,/praca/bsh-drives-and-pumps-clen-skupiny-bosch/O4525786,2023-04-07
462,Senior C++ Developer ETCS OBU ,Žilina,Siemens Slovensko,1 100 - 2 000 EUR/mesiac,/praca/siemens-slovensko/O4291041,2023-04-07
463,Salesforce Consultant,"Bratislava, Slovakia (Job with occasional home office)",IBM,2 600 EUR/mesiac,/praca/ibm/O4214979,2023-04-07
464,Salesforce Developer,"Bratislava, Slovakia (Job with occasional home office)",IBM,1 900 - 2 400 EUR/mesiac,/praca/ibm/O4214975,2023-04-07
465,Java developer for Smart Buildings,"Lamačská cesta, 841 01 Bratislava, Slovakia (Job with occasional home office)",Siemens Slovensko,1 900 - 2 400 EUR/mesiac,/praca/siemens-slovensko/O4105148,2023-04-07
466,Senior Java developer for Smart Buildings,"Lamačská cesta, 841 01 Bratislava, Slovakia (Job with occasional home office)",Siemens Slovensko,1 600 EUR/mesiac,/praca/siemens-slovensko/O4105143,2023-04-07
467,Senior Back-End Developer for Smart Buildings,"Žilina, Slovakia (Job with occasional home office)",Siemens Slovensko,2 200 EUR/mesiac,/praca/siemens-slovensko/O3938453,2023-04-07
468,PHP - Drupal Programátor,"Korzo Bélu Bartóka, Dunajská Streda","epix media, s.r.o.",1 900 EUR/mesiac,/praca/epix-media/O4325234,2023-04-07
469,Senior Java developer ,Práca z domu,CODERAMA s. r. o.,1 500 - 2 500 EUR/mesiac,/praca/coderama/O4520710,2023-04-07
470,MS SQL & .NET developer,"Kálov 356, Žilina, Slovensko (Pozícia umožňuje občasnú prácu z domu)","codium, s.r.o.",3 000 - 6 000 EUR/mesiac,/praca/codium/O4318283,2023-04-07
471,Java Developer (greenfield project) - Letectvo,"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)",Indra Avitech s.r.o.,2 500 - 4 000 EUR/mesiac,/praca/indra-avitech/O4528197,2023-04-07
472,Senior Java developer,"Banská Bystrica, Slovensko (Pozícia umožňuje občasnú prácu z domu)",SERVIS EU s. r. o.,2 000 - 3 000 EUR/mesiac,/praca/servis-eu/O4543711,2023-04-07
473,Java SW Developer,Bratislava,Grafton Slovakia s.r.o.,2 800 EUR/mesiac,/praca/grafton-slovakia/O4543684,2023-04-07
474,Medior Java developer,Banská Bystrica,SERVIS EU s. r. o.,2 000 - 3 500 EUR/mesiac,/praca/servis-eu/O4521725,2023-04-07
475,DevOps inžinier,"Bratislava, Slovak Republic",CPL Jobs s.r.o.,2 000 - 2 300 EUR/mesiac,/praca/cpl-jobs/O4543647,2023-04-07
476,Lead Software Engineer,"Košice, Slovakia (Job with occasional home office)","Unique People, s.r.o.",None,/praca/unique-people/O4507119,2023-04-07
477,SW System Architect,"Žilina, Slovakia (Job with occasional home office)",Scheidt & Bachmann Slovensko s.r.o.,3 000 EUR/mesiac,/praca/scheidt-bachmann-slovensko/O4453677,2023-04-07
478,Solution Architect,"Žilina, Slovakia (Job with occasional home office)",Scheidt & Bachmann Slovensko s.r.o.,3 600 EUR/mesiac,/praca/scheidt-bachmann-slovensko/O4473891,2023-04-07
479,Senior projektový manažér pre riadenie SW dodávok,"Žilina, Slovensko (Pozícia umožňuje občasnú prácu z domu)",Scheidt & Bachmann Slovensko s.r.o.,3 600 EUR/mesiac,/praca/scheidt-bachmann-slovensko/O4524334,2023-04-07
