Corporation,Main,Labels
Work Force Kft. ,Scrum Master,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,SAP SD Consultant (hybrid/remote),"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Vulnerability Management Specialist,"
      Rendszerüzemeltető    "
Trenkwalder Kft ,IT support specialist,"
      Rendszerüzemeltető    "
Trenkwalder Kft ,C# fejlesztő,"
      Rendszerüzemeltető    "
Trenkwalder Kft ,C# fejlesztő,"
      Rendszerüzemeltető    "
T-HR Kft. ,Test Engineer - Tatabánya,"
      Rendszerüzemeltető    "
IMPC Personnel Hungária Kft. ,"TESZTRENDSZERFEJLESZTÉSI CSOPORTVEZETŐ (PROJEKTVEZETÉS, TESZTRENDSZEREK, ANGOL)","
      Rendszerüzemeltető    "
RecruIT Kft. ,Senior Java Engineer,"
      Rendszerüzemeltető    "
HSA Kft. ,Teszteszköz fejlesztő mérnök,"
      Rendszerüzemeltető    "
HSA Kft. ,IT specialist,"
      Rendszerüzemeltető    "
Trenkwalder Kft ,Frontend Fejlesztő,"
      Rendszerüzemeltető    "
HSA Kft. ,IT Specialist,"
      Rendszerüzemeltető    "
HSA Kft. ,Rendszergazda,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Senior Software Engineer,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Software engineer team lead,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Cisco Data 2nd Line Engineer,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Front-End Developer,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,AI Team Lead,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Medior / Senior Java fejlesztő,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,R&D Engineer,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Cloud Data Engineer,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Cybersecurity Project Manager,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Lead Full stack developer,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Senior Business Analyst,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Senior Backend Developer ,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Senior Full-stack developer C#/Angular,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Scrum Master,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Data Scientist,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Senior Data Engineer,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,SAP Key user MM/PP,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Java backend developer,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Data Matching specialist,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Test Automation Engineer ,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,System Administrator,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Test Engineer,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Operator 7X24,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Junior Data Engineer,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Junior Data Scientist,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Security Tech Professional,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Full Stack Engineer,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Software Project Manager,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,SW Project quality specialist,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Medior/Senior Data Scientist,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Network Engineer,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,UX Designer,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Cybersecurity & Safety Analyst – Előfejlesztés (K  F   I),"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Senior Azure Architect,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Cloud RAN Support Engineer,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Full-stack C#/Angular,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,C++ developer,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Security Management Specialist,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Information Security Analyst,"
      Rendszerüzemeltető    "
IMPC Personnel Hungária Kft. ,IT KOORDINÁTOR,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,MLOps Engineer,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Senior Python Software Engineer ,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Full-stack developer C#/Angular - Medior,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,RPA Developer,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Senior Cloud/Big Data Engineer,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,Service Delivery Manager,"
      Rendszerüzemeltető    "
