ID,Main,Location,Corporation,Salary,Href,Date
157,"Informatik, správca siete",Topoľčany,"„MÔJ DOMOV“, Zariadenie sociálnych služieb Topoľčany", 1 000 EUR/mesiac,pracovna-ponuka/1321301/informatik-spravca-siete,2023-03-04
158,Elektronik PLC ,"Okres Nitra, Nitra",HSH spoločnosť s ručením obmedzeným, 1 310 EUR/mesiac,pracovna-ponuka/1321257/elektronik-plc,2023-03-04
159,Programátor CNC strojov,Kysucké Nové Mesto,LITONIT s. r. o., 765 EUR/mesiac,pracovna-ponuka/1321079/programator-cnc-strojov,2023-03-04
160,Programátor CNC strojov - Operátor,"Okres Stará Ľubovňa, Stará Ľubovňa","AM-KOV, s.r.o.", 1 000 EUR/mesiac,pracovna-ponuka/1320875/programator-cnc-strojov-operator,2023-03-04
161,Software Engineer,Bratislava,Bloomreach SK s.r.o., 2 300 EUR/mesiac,pracovna-ponuka/1320642/software-engineer,2023-03-04
162,PLC programátor,Bratislava,TG Automation s.r.o., 1 100 EUR/mesiac,pracovna-ponuka/1300807/plc-programator,2023-03-04
163,Programátor C++,Bratislava,"MicroStep, spol. s r.o.", 2 000 EUR/mesiac,pracovna-ponuka/1306397/programator-c-,2023-03-04
164,IT konzultant,"Okres Nitra, Nitra",Tata Consultancy Services Limited - organizačná zložka, 3 350 EUR/mesiac,pracovna-ponuka/1320510/it-konzultant,2023-03-04
165,Učiteľ/ -ka s aprobáciou: fyzika - matematika - telesná výchova- informatika,"Okres Komárno, Komárno","Základná škola, Školská ul. č. 757/10, 946 14 Zemianska Olča",,pracovna-ponuka/1293513/ucitel-ka-s-aprobaciou-fyzika-matematika-telesna-vychova-informatika,2023-03-04
166,IT konzultant,Bratislava,Veľvyslanectvo USA, 2 100 EUR/mesiac,pracovna-ponuka/1325827/it-konzultant,2023-03-04
167,Java Software Developer,Bratislava,iLogistics Slovakia s. r. o., 2 200 EUR/mesiac,pracovna-ponuka/1325801/java-software-developer,2023-03-04
168,Programátor CNC,"Okres Žiar nad Hronom, Žiar nad Hronom","Profika Sk, s.r.o.",12 EUR/h,pracovna-ponuka/1320190/programator-cnc,2023-03-04
169,Programátor CNC,"Okres Žiar nad Hronom, Žiar nad Hronom","Profika Sk, s.r.o.", 1 500 EUR/mesiac,pracovna-ponuka/1320188/programator-cnc,2023-03-04
170,Programátor,Bratislava,"Automobilové opravovne Ministerstva vnútra Slovenskej republiky, a. s.", 2 200 EUR/mesiac,pracovna-ponuka/1306685/programator,2023-03-04
171,Programátor,Košice,"Workflows, s.r.o.", 1 100 EUR/mesiac,pracovna-ponuka/1325497/programator,2023-03-04
172,Programátor,Košice,"Workflows, s.r.o.", 1 100 EUR/mesiac,pracovna-ponuka/1325495/programator,2023-03-04
173,SW development and maintenance,"Okres Žilina, Žilina",C.W s.r.o.,5 EUR/h,pracovna-ponuka/1325355/sw-development-and-maintenance,2023-03-04
174,Elektromechanik - programátor,Zlaté Moravce,Specialty Field Services s.r.o., 2 500 EUR/mesiac,pracovna-ponuka/1320060/elektromechanik-programator,2023-03-04
175,Programátor CNC strojov,"Okres Komárno, Komárno, Kolárovo",KolArms s.r.o., 1 200 EUR/mesiac,pracovna-ponuka/1319712/programator-cnc-strojov,2023-03-04
176,Aplikačný programátor,"Okres Senica, Senica",Ivan Kozák K&H, 760 EUR/mesiac,pracovna-ponuka/1310563/aplikacny-programator,2023-03-04
177,IT konzultant,"Okres Nitra, Nitra",Tata Consultancy Services Limited - organizačná zložka, 2 675 EUR/mesiac,pracovna-ponuka/1319410/it-konzultant,2023-03-04
178,Telefonista/ Asistent (Pezinok),"Okres Pezinok, Pezinok",Marek Peško, 1 000 EUR/mesiac,pracovna-ponuka/1304915/telefonista-asistent-pezinok-,2023-03-04
179,Senior programátor,Bratislava,ARBITAS s.r.o., 700 EUR/mesiac,pracovna-ponuka/1319254/senior-programator,2023-03-04
180,Databázový analytik,Bratislava,Voxwise s.r.o., 750 EUR/mesiac,pracovna-ponuka/1315400/databazovy-analytik,2023-03-04
181,Programátor CNC strojov,Námestovo,MECASYS s. r. o., 2 400 EUR/mesiac,pracovna-ponuka/1132167/programator-cnc-strojov,2023-03-04
182,Systémový programátor,Košice,DATAMONT s.r.o., 900 EUR/mesiac,pracovna-ponuka/1315340/systemovy-programator,2023-03-04
183,Samostatný výskumný a vývojový pracovník,"Okres Senica, Senica",Vojenský technický a skúšobný ústav Záhorie,,pracovna-ponuka/1123991/samostatny-vyskumny-a-vyvojovy-pracovnik,2023-03-04
184,Učiteľ/ka - informatiky,"Okres Hlohovec, Hlohovec, Leopoldov","Základná škola, Nám. sv. Ignáca 31, Leopoldov", 1 037 EUR/mesiac,pracovna-ponuka/1324811/ucitel-ka-informatiky,2023-03-04
185,Junior softvérový inžinier,Košice,Infobip s. r. o., 1 700 EUR/mesiac,pracovna-ponuka/1123887/junior-softverovy-inzinier,2023-03-04
186,Biznis Analytik,Košice,Holcim European Business Services s.r.o., 1 300 EUR/mesiac,pracovna-ponuka/1324283/biznis-analytik,2023-03-04
187,Biznis Analytik,Košice,Holcim European Business Services s.r.o., 1 300 EUR/mesiac,pracovna-ponuka/1324279/biznis-analytik,2023-03-04
188,Špecialista - Programátor WinCC - Wonderware,"Okres Zvolen, Zvolen","MANUFACTURING + MOUNTING, s.r.o.", 1 350 EUR/mesiac,pracovna-ponuka/1309851/specialista-programator-wincc-wonderware,2023-03-04
189,Programátor,"Okres Žilina, Žilina","OMICRON TECHNOLOGIES, s. r. o.", 2 000 EUR/mesiac,pracovna-ponuka/1324203/programator,2023-03-04
190,Špecialista - Programátor SCADA,"Okres Zvolen, Zvolen","MANUFACTURING + MOUNTING, s.r.o.", 1 350 EUR/mesiac,pracovna-ponuka/1309591/specialista-programator-scada,2023-03-04
191,Špecialista - Programátor EPLAN,"Okres Zvolen, Zvolen","MANUFACTURING + MOUNTING, s.r.o.", 1 350 EUR/mesiac,pracovna-ponuka/1309571/specialista-programator-eplan,2023-03-04
192,Commissioning engineer,Bratislava,i4Industry s.r.o., 2 000 EUR/mesiac,pracovna-ponuka/1318384/commissioning-engineer,2023-03-04
193,"Špecialista - Programátor Step 7 - Siemens, RS-Rockwell automation","Okres Zvolen, Zvolen","MANUFACTURING + MOUNTING, s.r.o.", 1 350 EUR/mesiac,pracovna-ponuka/1309469/specialista-programator-step-7-siemens-rs-rockwell-automation,2023-03-04
194,Špecialista - Programátor WinCC - Flexible,"Okres Zvolen, Zvolen","MANUFACTURING + MOUNTING, s.r.o.", 1 350 EUR/mesiac,pracovna-ponuka/1309467/specialista-programator-wincc-flexible,2023-03-04
195,Sr Database Administrator,Bratislava,"Fiserv Slovakia, s.r.o.", 3 700 EUR/mesiac,pracovna-ponuka/1318212/sr-database-administrator,2023-03-04
196,Systémový programátor,Bratislava,MUSELET s.r.o., 720 EUR/mesiac,pracovna-ponuka/1309231/systemovy-programator,2023-03-04
197,Medior .NET Developer,Bratislava,ECoding Slovakia s. r. o., 2 500 EUR/mesiac,pracovna-ponuka/1323953/medior-net-developer,2023-03-04
198,Špecialista - Programátor WinCC - Wonderware,"Okres Zvolen, Zvolen","MANUFACTURING + MOUNTING, s.r.o.", 1 350 EUR/mesiac,pracovna-ponuka/1317738/specialista-programator-wincc-wonderware,2023-03-04
199,ERP application support Analyst,Bratislava,Softspeed Information Technology s.r.o., 1 600 EUR/mesiac,pracovna-ponuka/1317890/erp-application-support-analyst,2023-03-04
200,"IT architekt, projektant","Okres Pezinok, Pezinok, Svätý Jur","OZZYLOGIK, s.r.o.", 1 300 EUR/mesiac,pracovna-ponuka/1314424/it-architekt-projektant,2023-03-04
201,Učiteľ matematiky a informatiky,"Okres Žiar nad Hronom, Žiar nad Hronom","Základná škola s materskou školou, Horná Ždaňa 107",,pracovna-ponuka/1138983/ucitel-matematiky-a-informatiky,2023-03-04
202,Full-stack Software Engineer,Bratislava,codeblox s. r. o., 1 500 EUR/mesiac,pracovna-ponuka/1323179/full-stack-software-engineer,2023-03-04
203,Analytik IKT,"Okres Nitra, Nitra",Tata Consultancy Services Limited - organizačná zložka, 2 500 EUR/mesiac,pracovna-ponuka/1323133/analytik-ikt,2023-03-04
204,Software Development Manager,Bratislava,Oracle Slovensko spol. s r.o., 3 500 EUR/mesiac,pracovna-ponuka/1294709/software-development-manager,2023-03-04
205,Senior Java Developer (Košice alebo Poprad) s možnosťou práce aj na živnosť (Ref. č.: 1-16-35102/PF),Košice,Grafton Slovakia s.r.o.,,pracovna-ponuka/964242/senior-java-developer-kosice-alebo-poprad-s-moznostou-prace-aj-na-zivnost-ref-c-1-16-35102-pf-,2023-03-04
