ID,Main,Location,Corporation,Href
504,German Service Desk Representative,Budapest,Hays Hungary Kft.,/allas/informatikusit_officer/VB-7147#adtype=indCU
505,Informatikus/IT Officer,Polgárdi,Trenkwalder Kft.,/allas/italian_service_desk_analyst/TU-8896#adtype=indCU
506,Italian Service Desk Analyst,Budapest,Hays Hungary Kft.,/allas/frontend_developer/PO-8328#adtype=indCU
507,Frontend Developer,Magyarország,Hays Hungary Kft.,/allas/server_and_network_management_team_leader/PX-3207#adtype=indCU
508,Server and Network Management team leader,Budapest,EasyHiring Services Kft.,/allas/network_security_engineer/ZR-0935#adtype=indCU
509,Network Security Engineer,Budapest,EasyHiring Services Kft.,/allas/webfejleszto_php/OO-5536#adtype=indCU
510,Webfejlesztő (PHP),Debrecen,EasyHiring Services Kft.,/allas/lead_full_stack_developer/SU-9400#adtype=indCU
511,Lead Full stack developer,Budapest,Hays Hungary Kft.,/allas/french_speaking_service_desk_agent/NT-9846#adtype=indCU
512,French speaking service desk agent,Budapest,Karrier Hungária,/allas/oracle_integration_cloud_specialist/YE-9960#adtype=indCU
513,Oracle Integration Cloud Specialist,Budapest,Hays Hungary Kft.,/allas/technikai_rendszermernok/FI-7507#adtype=indCU
514,Technikai Rendszermérnök,Budapest,EasyHiring Services Kft.,/allas/agile_team_coach/VB-3589#adtype=indCU
515,Agile Team Coach,Budapest,EasyHiring Services Kft.,/allas/information_security_program_analyst/DM-9589#adtype=indCU
516,Information Security Program Analyst,Magyarország,Randstad Hungary Kft,/allas/it_recruitment_gyakornok/KA-2032#adtype=indCU
517,IT Recruitment Gyakornok,Budapest,EasyHiring Services Kft.,/allas/oracle_backend_software_engineer/KQ-5244#adtype=indCU
518,Oracle Backend Software Engineer,Budapest,Randstad Hungary Kft,/allas/team_support_assistant/DK-0709#adtype=indCU
519,Team Support Assistant,Budapest,Hays Hungary Kft.,/allas/maintenance_support_associate/PU-4925#adtype=indCU
520,Maintenance Support Associate,Budapest,EasyHiring Services Kft.,/allas/beagyazott_szoftverfejleszto_mernok/JO-4786#adtype=indCU
521,Beágyazott Szoftverfejlesztő Mérnök,Budapest,Hays Hungary Kft.,/allas/scrum_master/DQ-6517#adtype=indCU
522,Scrum Master,Budapest,Hays Hungary Kft.,/allas/java_angular_developer/ZS-3412#adtype=indCU
523,"Java, Angular Developer",Budapest,Hays Hungary Kft.,/allas/software_test_engineer/RI-0800#adtype=indCU
524,Software Test Engineer,Budapest,EasyHiring Services Kft.,/allas/senior_it_business_analyst/XD-5685#adtype=indCU
525,Senior IT Business Analyst,Budapest,EasyHiring Services Kft.,/allas/modelling_actuary/ZB-7323#adtype=indCU
526,Modelling Actuary,Budapest,Hays Hungary Kft.,/allas/cloud_data_engineer/TC-8060#adtype=indCU
527,Cloud Data Engineer,Magyarország,EasyHiring Services Kft.,/allas/operator_7x24/TU-3188#adtype=indCU
528,Operator 7X24,Budapest,Hays Hungary Kft.,/allas/application_support_engineer/HV-0083#adtype=indCU
529,Application Support Engineer,Magyarország,Randstad Hungary Kft,/allas/sap_test_manager/SY-1662#adtype=indCU
530,SAP Test Manager,Magyarország,EasyHiring Services Kft.,/allas/cybersecurity_project_manager/PG-6843#adtype=indCU
531,Cybersecurity Project Manager,Budapest,Hays Hungary Kft.,/allas/it_procurement_manager_italian_speaking/TM-5252#adtype=indCU
532,IT Procurement Manager (Italian speaking),Budapest,EasyHiring Services Kft.,/allas/system_engineer/MP-1879#adtype=indCU
533,System Engineer,Magyarország,Hays Hungary Kft.,/allas/project_manager_for_e_learning_development/SL-2938#adtype=indCU
534,Project Manager for e-Learning Development,Vecsés,Hays Hungary Kft.,/allas/reporting_expert_azure_environment/DU-8319#adtype=indCU
535,Reporting Expert - Azure environment,Budapest,Hays Hungary Kft.,/allas/senior_qa_tester/MW-7454#adtype=indCU
536,Senior QA Tester,Budapest,EasyHiring Services Kft.,/allas/data_engineer/OD-1788#adtype=indCU
537,Data Engineer,Budapest,EasyHiring Services Kft.,/allas/aws_engineer_devops_sre/EM-7879#adtype=indCU
538,"AWS Engineer (DevOps, SRE)",Budapest,EasyHiring Services Kft.,/allas/development_test_engineer/QI-8453#adtype=indCU
539,Development Test Engineer,Magyarország,Randstad Hungary Kft,/allas/sap_test_automation_engineer/UD-8776#adtype=indCU
540,SAP Test Automation Engineer,Budapest,EasyHiring Services Kft.,/allas/team_lead_logistics/UI-6884#adtype=indCU
541,Team lead - Logistics,Budapest,EasyHiring Services Kft.,/allas/junior_net_developer/WB-2675#adtype=indCU
542,Junior .NET developer,Magyarország,EasyHiring Services Kft.,/allas/medior_full_stack_developer/LG-7117#adtype=indCU
543,Medior full stack developer,Budapest,Randstad Hungary Kft,/allas/junior_application_engineer/KW-7581#adtype=indCU
544,Junior Application Engineer,Budapest,EasyHiring Services Kft.,/allas/italianfrench_speaking_service_desk_analyst/EM-1124#adtype=indCU
545,Italian/French Speaking Service Desk Analyst,Budapest,Hays Hungary Kft.,/allas/adattisztito_3_honapos_fix_idore/HL-9957#adtype=indCU
546,Adattisztító - 3 hónapos fix időre,Budapest,Trenkwalder Kft.,/allas/cloud_data_engineer/EX-4868#adtype=indCU
547,Cloud Data Engineer,Budapest,Hays Hungary Kft.,/allas/devops_engineer/VX-0719#adtype=indCU
548,Devops Engineer,Budapest,EasyHiring Services Kft.,/allas/sap_consultant/VC-8310#adtype=indCU
549,SAP Consultant,Kistelek,Randstad Hungary Kft,/allas/german_speaking_1st_level_helpdesk_analyst/NU-7396#adtype=indCU
550,German speaking 1st level helpdesk analyst,Budapest,EasyHiring Services Kft.,/allas/devops_engineer_iot_cloud/OY-4337#adtype=indCU
551,DevOps Engineer IoT Cloud,Budapest,Randstad Hungary Kft,/allas/senior_java_developer_spring_boot/DT-2137#adtype=indCU
552,Senior Java Developer (Spring Boot),Budapest,EasyHiring Services Kft.,/allas/software_quality_engineer_aspice/VW-3426#adtype=indCU
553,Software Quality Engineer (ASPICE),Budapest,Hays Hungary Kft.,/allas/embedded_sw_engineer/GJ-6047#adtype=indCU
554,Embedded SW Engineer,Budapest,Hays Hungary Kft.,/allas/access_manager_specialist_senior/IR-0697#adtype=indCU
555,Access Manager Specialist (Senior),Budapest,Randstad Hungary Kft,/allas/api_developer/GY-8153#adtype=indCU
