Corporation,Main,Location
Synpulse Slovakia s.r.o.,Data Engineer (Stochastic Analytics),"Bottova, Bratislava, Slovakia (Job with occasional home office)"
SCHAEFFLER,Dátový inžinier,Kysucké Nové Mesto
"Seznam.cz Slovensko, s.r.o.",Poď s nami robiť backend našej novej videoplatformy,"Bottova, Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)"
Hitachi Zosen Inova Slovakia s.r.o.,IT Application Developer,"Digital Park II, Einsteinova, Petržalka, Slovakia, Bratislava (Job with occasional home office)"
IBM,SAP Analytics Consultant,"Bratislava, Slovakia (Job with occasional home office)"
"Elite Worker, s. r. o.",Dátový analytik,Bratislava
Hitachi Zosen Inova Slovakia s.r.o.,IT Business Applications Developer,"Digital Park II, Einsteinova, Petržalka, Slovakia, Bratislava (Job with occasional home office)"
MATERNA Information & Communications s.r.o.,Automation Tester s Nemeckým jazykom,Práca z domu
Swiss Re,Are you passionate about Excel and data? Apply now!,"Mlynské nivy, Bratislava, Slovakia (Job with occasional home office)"
"Intellica DG, s. r. o.",Data Engineer ,"Bratislava, Slovakia (Job with occasional home office)"
Deutsche Telekom IT Solutions Slovakia,ICT Engineer (ACI LAN/ Loadbalancer),Remote work
Hitachi Zosen Inova Slovakia s.r.o.,Applications Developer,"Digital Park II, Einsteinova, Petržalka, Slovakia, Bratislava (Job with occasional home office)"
"GoHealth, s. r. o.",Site Reliability Engineer ,Remote work
Solar Turbines Slovakia s.r.o.,Senior C++ Software Developer,"Košice, Slovak Republic"
"GoHealth, s. r. o.",Software Engineer ,Remote work
"ESET, spol. s r.o.",C ++ Developer/ka pre MacOS (Swift) pre ESET Endpoint/Cyber ​​Security (možnosť aj full Home Office),Práca z domu
ČSOB Finančná skupina,Validátor/-ka transakčných modelov kreditného rizika – junior,"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)"
ČSOB Finančná skupina,Špecialista/-ka pre rizikové modely,"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)"
"SIA Central Europe, a.s.",Quick tool developer Internship - great opportunity for students!,"Bratislava, Slovakia (Job with occasional home office)"
Súkromné gymnázium FUTURUM Trenčín,"Učiteľ/ka SŠ - Informatika, Programovanie","Školská 66, Trenčín, okres Trenčín"
ČSOB Finančná skupina,Špecialista/-ka pre validáciu modelov úverového rizika pre ČSOB Bratislava senior,"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)"
Swiss Re,Data Analyst (student role),"Mlynské nivy, Bratislava, Slovakia (Job with occasional home office)"
"UNIQA Group Service Center Slovakia, spol. s r.o.",Senior Data Engineer / Java Developer “Data Integration and Big Data” ,Košice
"Accenture, s.r.o.",Azure Machine Learning developer Kosice  (Permanent Home Office Possible),"Košice, Slovakia (Job with occasional home office)"
Hyperia s.r.o.,PHP developer,"Na bráne, Žilina, Slovensko (Pozícia umožňuje občasnú prácu z domu)"
Pro HR,"AWS, Kubernetes Engineer",Práca z domu
Deutsche Telekom IT Solutions Slovakia,Junior DevOps Engineer- Part time job for students,040 01 Košice
Minebea Slovakia s.r.o.,Software Automation Engineer (R&D),Košice
Framatome Controls s. r. o.,Senior Nuclear Verification & Validation / Test Engineer,Bratislava
ČSOB Finančná skupina,Junior špecialista/-ka kreditného rizika,"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)"
Framatome Controls s. r. o.,Junior Design Engineer for Instrumentation & Control (I&C) systems ,Bratislava
Deutsche Telekom IT Solutions Slovakia,Windows Engineer,Remote work
"Accenture, s.r.o.",Medior Cloud Data Engineer,"Košice, Slovakia (Job with occasional home office)"
"ESET, spol. s r.o.",DevOps Specialist,"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)"
EMARK s.r.o.,Cloud Data Engineer,"Westend Gate, Dúbravská cesta, Karlova Ves, Slovensko, Bratislava (Pozícia umožňuje občasnú prácu z domu)"
Mazars,Senior RPA Developer ,"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)"
HEADSCOUT s.r.o.,Data Product Manager,Bratislava
Pro HR,DevOps Engineer,Remote work
Framatome Controls s. r. o.,Junior Nuclear Verification & Validation /Test Engineer,Bratislava
"Orange Slovensko, a.s.",Senior Cloud Data Engineer,"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)"
"Orange Slovensko, a.s.",Data Engineer,"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)"
Deutsche Telekom IT Solutions Slovakia,Application Developer (Software developer),040 01 Košice
PwC,Senior IT Biznis Analytik (rozširovanie tímu),"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)"
PwC,Junior IT Biznis Analytik (rozširovanie tímu),"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)"
