ID,Main,Location,Corporation,Salary,Href,Date
26,Senior Network Security Engineer (Ref. č.: 131-15-41773),Bratislava,Grafton Slovakia s.r.o., 3 000 EUR/mesiac,pracovna-ponuka/1324841/senior-network-security-engineer-ref-c-131-15-41773-,2023-03-21
27,Network Security Engineer - Check Point (Ref. č.: 131-15-41772),Bratislava,Grafton Slovakia s.r.o., 2 500 EUR/mesiac,pracovna-ponuka/1324839/network-security-engineer-check-point-ref-c-131-15-41772-,2023-03-21
28,IT Project Manager - financne sector (Ref. č.: 1-15-39900),Bratislava,Grafton Slovakia s.r.o., 2 500 EUR/mesiac,pracovna-ponuka/1149207/it-project-manager-financne-sector-ref-c-1-15-39900-,2023-03-21
29,"Network Security Consultant – Check Point, F5 - TPP/freelance (Ref. č.: 1-15-40955)",Bratislava,Grafton Slovakia s.r.o., 2 500 EUR/mesiac,pracovna-ponuka/1297291/network-security-consultant-check-point-f5-tpp-freelance-ref-c-1-15-40955-,2023-03-21
30,"Network Security Consultant – Cisco, TPP/freelance (Ref. č.: 1-15-40956)",Bratislava,Grafton Slovakia s.r.o., 2 500 EUR/mesiac,pracovna-ponuka/1297289/network-security-consultant-cisco-tpp-freelance-ref-c-1-15-40956-,2023-03-21
31,Java SW Developer (Ref. č.: 1-16-38107),Bratislava,Grafton Slovakia s.r.o., 2 000 EUR/mesiac,pracovna-ponuka/1297185/java-sw-developer-ref-c-1-16-38107-,2023-03-21
32,Cyber Security Expert (m/ž),Slovenská republika,Slovak Telekom, 3 200 EUR/mesiac,pracovna-ponuka/1323545/cyber-security-expert-m-z-,2023-03-21
33,Aplikačný programátor,"Okres Senica, Senica",Ivan Kozák K&H, 760 EUR/mesiac,pracovna-ponuka/1310563/aplikacny-programator,2023-03-21
34,Oracle Cloud Developer,Bratislava,IBM, 2 200 EUR/mesiac,pracovna-ponuka/1078969/oracle-cloud-developer,2023-03-21
35,Dynamics 365 Developer for unique projects ,Bratislava,IBM, 2 300 EUR/mesiac,pracovna-ponuka/995313/dynamics-365-developer-for-unique-projects,2023-03-21
36,Junior IT Špecialista,Bratislava,IBM, 1 350 EUR/mesiac,pracovna-ponuka/970785/junior-it-specialista,2023-03-21
37,IT Trainee,Bratislava,IBM, 1 400 EUR/mesiac,pracovna-ponuka/1002615/it-trainee,2023-03-21
38,Experienced Siebel/ CRM Consultant,Bratislava,IBM, 2 500 EUR/mesiac,pracovna-ponuka/997873/experienced-siebel-crm-consultant,2023-03-21
39,Azure Developer to Microsoft team,"Bratislavský kraj, Banskobystrický kraj, Košický kraj, Bratislava",IBM, 2 200 EUR/mesiac,pracovna-ponuka/997719/azure-developer-to-microsoft-team,2023-03-21
40,SAP ABAP/Fiori/UI5 Developer,"Bratislavský kraj, Košický kraj, Bratislava",IBM, 2 500 EUR/mesiac,pracovna-ponuka/983795/sap-abap-fiori-ui5-developer,2023-03-21
41,Salesforce Digital Marketer,"Bratislavský kraj, Košický kraj, Bratislava",IBM, 1 900 EUR/mesiac,pracovna-ponuka/973869/salesforce-digital-marketer,2023-03-21
42,SAP Consultant,"Bratislavský kraj, Banskobystrický kraj, Košický kraj, Bratislava",IBM, 2 500 EUR/mesiac,pracovna-ponuka/938514/sap-consultant,2023-03-21
43,SAP konzultant (Ref. č.: 2-15-41776),Prešov,Grafton Slovakia s.r.o., 2 500 EUR/mesiac,pracovna-ponuka/1323689/sap-konzultant-ref-c-2-15-41776-,2023-03-21
44,IT Testing Coordinator (Ref. č.: 1-16-41342),Bratislava,Grafton Slovakia s.r.o., 1 800 EUR/mesiac,pracovna-ponuka/1310049/it-testing-coordinator-ref-c-1-16-41342-,2023-03-21
45,Microsoft Azure Data Engineer,"Bratislavský kraj, Banskobystrický kraj, Košický kraj, Bratislava, Banská Bystrica, Košice",IBM, 2 200 EUR/mesiac,pracovna-ponuka/997717/microsoft-azure-data-engineer,2023-03-21
