Corporation,Main,Labels
Thyssenkrupp,Szoftverfejlesztési csapatvezető (Veszprém) (Veszprém),"1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - felsőfokú"
Deutsche Telekom IT Solutions,Technical Process Specialist - Networking field (REF1481Y) (Debrecen),"3 - 5 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;német - középfokú"
Deutsche Telekom IT Solutions,Rollout coordinator - automation - REF410H (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;Középfokú végzettség;teljes munkaidő;angol - felsőfokú
Deutsche Telekom IT Solutions,DevOps Engineer (VNI 1 NNA_ACC Squad) (REF220B) (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,DevOps Engineer (REF215M) (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - középfokú;angol - felsőfokú
Deutsche Telekom IT Solutions,Operations Manager EDI (REF513Z) (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;német - felsőfokú
Deutsche Telekom IT Solutions,Backend Developer (System Engineer) (REF746M) (Budapest),1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Frontend fejlesztő (REF731J) (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;német - középfokú
Deutsche Telekom IT Solutions,Repl//MS Dynamics 365 Fejlesztő (Budapest),1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Senior Engineer Security and Forensics (OTC) - REF761L (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - felsőfokú
Deutsche Telekom IT Solutions,Technical Incident Manager (REF84R) (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - középfokú;német - középfokú
Thyssenkrupp,Szoftverfejlesztő mérnök - beágyazott rendszerekhez (Veszprém) (Veszprém),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Alkalmazás üzemeltető Java fejlesztői tapasztalattal (REF984T) (Budapest),"3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;német - középfokú"
Deutsche Telekom IT Solutions,DevOps Engineer (Magyarország),"3 - 5 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
Deutsche Telekom IT Solutions,Cloud Architect in Azure Engineering - REF477J (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - felsőfokú
Deutsche Telekom IT Solutions,Experienced Network Architect (REF245U) (Budapest),5+ év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - felsőfokú
IMPC Personnel Hungária Kft.,"Tesztberendezés fejlesztő szoftvermérnök (labview, angol) (Veszprém)",1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Thyssenkrupp,ABAP Developer (Budapest),"3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
Deutsche Telekom IT Solutions,DevOps Engineer - Networking field (REF222U) (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - középfokú
Randstad Hungary Kft,Cloud Software Engineer (with .NET) (Budapest),"5+ év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
Deutsche Telekom IT Solutions,Kubernetes Specialist (AWS) - REF141L (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Technical Service Provisioner (REF708E) (Budapest),1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - középfokú;német - középfokú
Deutsche Telekom IT Solutions,Java Szoftverfejlesztő (REF732W) (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú;német - középfokú
Deutsche Telekom IT Solutions,Java Architect - Software Architect - PLM area (REF399Q) (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,DevOps Engineer-Optical Field (REF1457C) (Budapest),"1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
Deutsche Telekom IT Solutions,Operation Manager Agile (PowerBI) (REF1406L) (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,NFT Tester (REF1042Y) (Budapest),3 - 5 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - középfokú
Thyssenkrupp,Senior PLM / ALM Application Engineer (Budapest),"3 - 5 év tapasztalat;5+ év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;távmunka, home office"
Deutsche Telekom IT Solutions,Alkalmazás üzemeltető német nyelvtudással (REF1340X) (Budapest),"3 - 5 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;német - középfokú"
Deutsche Telekom IT Solutions,SAP akadémia 2023 (REF1387G) (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;projektmunka;angol - középfokú
Deutsche Telekom IT Solutions,IT Architect for Software Engineering (Budapest),5+ év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Head of Internal IT – Service HUB Owner (REF1425U) (Budapest),1 - 2 év tapasztalat;3 - 5 év tapasztalat;középvezető;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,System Engineer - experienced (REF1324E) (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Service Delivery Manager (IT Security) (REF192G) (Budapest),3 - 5 év tapasztalat;középvezető;Felsőfokú végzettség;teljes munkaidő;angol - középfokú;német - középfokú
Thyssenkrupp,Hardver és szoftver integrációs tesztmérnök (Budapest),"1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
Deutsche Telekom IT Solutions,DevOps Engineer EDG (TECHNIK HU/ VNI) (REF216Y) (Budapest),1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,BSS Tester (REF1034E) (Budapest),3 - 5 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Solution Engineer with DevOps (REF304U) (Budapest),1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Developer (REF1420Z) (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Devops fejlesztő/üzemeltető (REF170P) (Budapest),1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;német - középfokú
Deutsche Telekom IT Solutions,Fullstack Developer - REF1483O (Budapest),"1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;távmunka, home office"
Deutsche Telekom IT Solutions,Application Administrator - Azure Operations Manager (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Gyakornok Internal IT területre (Szeged),pályakezdő /tapasztalat nélkül;gyakornok;Középfokú végzettség;teljes munkaidő
Randstad Hungary Kft,Hálózatépítő (Budapest),pályakezdő /tapasztalat nélkül;1 - 2 év tapasztalat;beosztott;Középfokú végzettség;OKJ;teljes munkaidő
Deutsche Telekom IT Solutions,AWS Consultant - REF343F (Budapest),"1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;távmunka, home office"
Deutsche Telekom IT Solutions,Frontend Developer (Core media) (Budapest),1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Application Administrator Trainee (Budapest),pályakezdő /tapasztalat nélkül;gyakornok;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;részmunkaidő
Deutsche Telekom IT Solutions,Cloud Architect (Open Telecom Cloud) - REF1377P (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Lead Java Developer (REF883E) (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Senior Project Manager (REF1450G) (Budapest),1 - 2 év tapasztalat;3 - 5 év tapasztalat;5+ év tapasztalat;középvezető;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Magenta View - Backend developer (REF1195A) (Budapest),3 - 5 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - felsőfokú
Deutsche Telekom IT Solutions,Solution Engineer (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Azure Migration Engineer - REF479F (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Experienced report designer(REF681T) (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú;német - középfokú
Thyssenkrupp,DevOps Engineer (Budapest),"1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
Randstad Hungary Kft,Hardverfejlesztő mérnök (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,BI gyakornok (REF417C) (Budapest),pályakezdő /tapasztalat nélkül;gyakornok;Középfokú végzettség;teljes munkaidő;részmunkaidő;diákmunka;angol - középfokú
Deutsche Telekom IT Solutions,ServiceNow Business Analyst (REF189R) (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Németül és angolul beszélő ügyfélkapcsolati munkatárs (REF1211K) (Debrecen),1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;német - felsőfokú;angol - felsőfokú
Deutsche Telekom IT Solutions,DevOps Engineer for Cloud of Things (REF542I) (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Thyssenkrupp,Network engineer (Cisco) (Budapest),"3 - 5 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
Deutsche Telekom IT Solutions,Data Engineer for IoT (REF1449L) (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Content developer in e-learning/Instructional designer - REF570E (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú;német - középfokú
Deutsche Telekom IT Solutions,Security Solution Administrator - EPP (REF1410K) (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - középfokú
Thyssenkrupp,System project leader (Budapest),"1 - 2 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - felsőfokú"
Deutsche Telekom IT Solutions,Process and Service Management (REF125F) (Budapest),"1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;távmunka, home office"
Thyssenkrupp,Szoftverintegrációs mérnök (automatizáció) (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Thyssenkrupp,Senior Frontend Developer (Budapest),"5+ év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
Deutsche Telekom IT Solutions,Java Developer for Cloud of Things (REF521E) (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Technical Service Provisioner (REF708E) (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;angol - középfokú;német - középfokú
Deutsche Telekom IT Solutions,Senior English speaking Scrum Master (REF1057S) (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Quality Manager - IT Software Development Project (REF1404I) (Budapest),5+ év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;német - felsőfokú
Thyssenkrupp,Application Support Engineer (Budapest),"1 - 2 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - felsőfokú"
Deutsche Telekom IT Solutions,Technical Incident Manager (REF84R) (Budapest),"1 - 2 év tapasztalat;3 - 5 év tapasztalat;középvezető;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
Deutsche Telekom IT Solutions,Process Manager - Software engineering (REF541Q) (Budapest),5+ év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - felsőfokú
Deutsche Telekom IT Solutions,Alkalmazás üzemeltető Java fejlesztői tapasztalattal (REF984T) (Debrecen),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;német - középfokú
Deutsche Telekom IT Solutions,"Microsoft Application Administrator - Skype for Business, Teams (REF974Y) (Budapest)",1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - felsőfokú
Deutsche Telekom IT Solutions,Developer (REF1307I) (Budapest),1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Thyssenkrupp,Safety Manager (Budapest),"1 - 2 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - felsőfokú"
Deutsche Telekom IT Solutions,Cloud Engineer - Linux (REF1144J) (Budapest),"1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
Deutsche Telekom IT Solutions,Technical Product Manager for HR projects - REF1494J (Budapest),1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Cyber Security Analyst Tier2 (REF196L) (Budapest),3 - 5 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
