ID,Main,Location,Corporation,Salary,Href,Date
108,Senior BE .NET/C# Developer s presahom na FE (Ref. č.: 1-16-39366),Košice,Grafton Slovakia s.r.o., 2 500 EUR/mesiac,pracovna-ponuka/1095091/senior-be-net-c-developer-s-presahom-na-fe-ref-c-1-16-39366-,2023-04-06
109,Server Administrator (Azure) (Ref. č.: 131-16-41829),Bratislava,Grafton Slovakia s.r.o., 3 000 EUR/mesiacPonuka onedlho končí,pracovna-ponuka/1328043/server-administrator-azure-ref-c-131-16-41829-,2023-04-06
110,QlikView Developer (Ref. č.: 1-16-41546),Košice,Grafton Slovakia s.r.o., 2 000 EUR/mesiac,pracovna-ponuka/1317082/qlikview-developer-ref-c-1-16-41546-,2023-04-06
111,Lead BI Analyst,Bratislava,EPAM Systems s.r.o., 3 930 EUR/mesiac,pracovna-ponuka/1322051/lead-bi-analyst,2023-04-06
112,Software Test Automation Engineer,Bratislava,EPAM Systems s.r.o., 2 600 EUR/mesiac,pracovna-ponuka/1322043/software-test-automation-engineer,2023-04-06
113,IT / ERP konzultant,"Okres Ilava, Dubnica nad Váhom, Ilava",Team - SOFT s.r.o., 1 100 EUR/mesiac,pracovna-ponuka/1327485/it-erp-konzultant,2023-04-06
114,Analytik IKT,"Okres Nitra, Nitra",Tata Consultancy Services Limited - organizačná zložka, 2 500 EUR/mesiac,pracovna-ponuka/1327481/analytik-ikt,2023-04-06
115,Data analyst/Modeller,Bratislava,Assisto Consulting SK s. r. o., 3 000 EUR/mesiac,pracovna-ponuka/1327501/data-analyst-modeller,2023-04-06
116,Senior/Lead Software Engineer,Bratislava,EPAM Systems s.r.o., 3 600 EUR/mesiac,pracovna-ponuka/1332567/senior-lead-software-engineer,2023-04-06
117,Technológ programovania CNC strojov,Kysucké Nové Mesto,LITONIT s. r. o., 765 EUR/mesiac,pracovna-ponuka/1332515/technolog-programovania-cnc-strojov,2023-04-06
118,Analytik IKT,"Okres Nitra, Nitra",Tata Consultancy Services Limited - organizačná zložka, 2 675 EUR/mesiac,pracovna-ponuka/1321659/analytik-ikt,2023-04-06
119,Full stack developer ,Bratislava,TechRD solutions s.r.o., 1 087 EUR/mesiac,pracovna-ponuka/1292491/full-stack-developer,2023-04-06
120,Developer (Aplikačný programátor),Bratislava,"brainit.sk, s. r. o.", 1 650 EUR/mesiac,pracovna-ponuka/1144559/developer-aplikacny-programator-,2023-04-06
121,Omnichannel marketing automation technical consultant,Bratislava,Assisto Consulting SK s. r. o., 3 000 EUR/mesiac,pracovna-ponuka/1326807/omnichannel-marketing-automation-technical-consultant,2023-04-06
122,Aplikačný programátor - developer,"Okres Žilina, Žilina","brainit.sk, s. r. o.", 1 650 EUR/mesiac,pracovna-ponuka/1144337/aplikacny-programator-developer,2023-04-06
123,CNC Programátor,"Okres Revúca, Revúca, Tornaľa","LVD S3, a. s.", 1 200 EUR/mesiac,pracovna-ponuka/1332273/cnc-programator,2023-04-06
124,Programátor Junior | Junior Programmer,Bratislava,"kiWision, s.r.o.", 1 800 EUR/mesiac,pracovna-ponuka/1332269/programator-junior--junior-programmer,2023-04-06
125,Programátor,"Okres Žiar nad Hronom, Žiar nad Hronom, Kremnica","ELBA, a.s.", 1 200 EUR/mesiac,pracovna-ponuka/1332115/programator,2023-04-06
126,Učiteľ/ka informatiky,"Okres Senica, Senica","Základná škola, Sekule 119", 1 161 EUR/mesiac,pracovna-ponuka/1326667/ucitel-ka-informatiky,2023-04-06
127,Python backend programátor,Bratislava,Institute of Language Technology and Education, 3 000 EUR/mesiac,pracovna-ponuka/1312201/python-backend-programator,2023-04-06
128,Programátor,Bratislava,"SLOVAKODATA, a.s.", 1 500 EUR/mesiac,pracovna-ponuka/1309361/programator,2023-04-06
129,Programátor CNC strojov,Trnava,"ELPOTECH, spol. s r.o.", 994 EUR/mesiac,pracovna-ponuka/1133143/programator-cnc-strojov,2023-04-06
130,Elektronik PLC ,"Okres Nitra, Nitra",HSH spoločnosť s ručením obmedzeným, 1 310 EUR/mesiac,pracovna-ponuka/1321257/elektronik-plc,2023-04-06
131,Programátor CNC strojov,Kysucké Nové Mesto,LITONIT s. r. o., 765 EUR/mesiac,pracovna-ponuka/1321079/programator-cnc-strojov,2023-04-06
